Experiment;Depth;Sample date;Time (years);ambient CO2 (mean);increased CO2 (mean);ambient CO2 (n);increased CO2 (n);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2005;8.00;2659;2659;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2006;9.00;2657;2722;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;0-5 cm;may/oct. 2007;10.00;2722;2822;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;0-5 cm;-;0.00;2112.2;2122.4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;0-5 cm;-;0.25;2122.4;2142.9;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;0-5 cm;-;0.50;1969.4;1979.6;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;0-5 cm;-;0.75;1969.4;2000.0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - P. radiata;0-10 cm;apr.1994;0;100;100;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - P. radiata;0-10 cm;mar. 2000;6;412;530;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - N. fusca;0-10 cm;apr.1994;0;100;100;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - N. fusca;0-10 cm;mar. 2000;6;2403;3402;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;0-15 cm;oct. 1997;0.00;2672;2791;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;0-15 cm;nov. 2000;2.42;2785;2866;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;0-15 cm;oct. 2002;4.33;2730;2991;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;0-15 cm;june 2009;11.00;3370;3850;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;0-30 cm;mar. 1991;0;8400;8000;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;0-30 cm;mar. 1993;1.75;7600;7600;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;0-30 cm;sept. 1996;5.5;7400;7600;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;0-30 cm;mar. 1991;0;7800;7900;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;0-30 cm;mar. 1993;1.75;7700;7800;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;0-30 cm;sept. 1996;5.5;7400;8300;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;0-30 cm;mar. 1991;0;8100;7500;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;0-30 cm;mar. 1993;1.75;7500;8500;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;0-30 cm;sept. 1996;5.5;7400;8100;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;0-10 cm;oct. 1999;0.00;1320;1128;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;0-10 cm;oct. 2000;1.00;1365;1195;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;0-10 cm;oct. 2001;2.00;1524;1295;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;0-10 cm;oct. 2003;4.00;1629;1377;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;0-10 cm;oct. 2004;5.00;1647;1480;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;0-10 cm;oct. 1999;0.00;1252;1165;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;0-10 cm;oct. 2000;1.00;1429;1213;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;0-10 cm;oct. 2001;2.00;1405;1084;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;0-10 cm;oct. 2003;4.00;1635;1431;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;0-10 cm;oct. 2004;5.00;1686;1370;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;0-10 cm;oct. 1999;0.00;1379;1149;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;0-10 cm;oct. 2000;1.00;1458;1169;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;0-10 cm;oct. 2001;2.00;1534;1112;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;0-10 cm;oct. 2003;4.00;1518;1246;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;0-10 cm;oct. 2004;5.00;1509;1344;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;0-5 cm;nov. 1995;0;617;645;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
